Report No.	Code	Incident Type	Title	Date	Location	Latitude	Longitude	Description	Weapons	Actors	Unspecified	Pistol	Revolver	Assault Rifle	Rifle	Shotgun	SMG	LMG	HMG	GL	AGL	RPG/ATW	Mortar	ATGM	MANPADS	Hand Grenade	Projected Gren	Rifle Gren	Munition	Ammo	Craft handgun	Craft Rifle	Craft Shotgun	Craft SMG	Craft RPG	Tags	Convergence	Score	Source
1	PHL.26.02.22.002	Seizure	Hit-and-run driver arrested with unlicensed pistol and shabu in Cavite	2/22/2026	Governors Drive, Barangay Maderan, General Mariano Alvarez, Cavite	14.2832	120.999	Police from the Carmona Component City Police Station and Cavite PPO seized an unlicensed 9mm Bersa Thunder Ultra Compact pistol and 22 rounds of ammunition, along with 75 grams of suspected shabu (estimated value Ã¢â€šÂ±510,000) and drug paraphernalia, from a hit-and-run driver on Governors Drive in Barangay Maderan, General Mariano Alvarez, Cavite on 22 February 2026. The suspect collided with a motorcycle and fled the scene; police intercepted him in Barangay Maderan. Upon apprehending the suspect and retrieving his license, officers noticed a handgun inside his bag.	"one Bersa Thunder Ultra Compact 9mm pistol
22 rounds of ammunition"	"Criminal individual (drug user)
Police (Carmona Component City Police Station, Cavite PPO)"		1																		22						Crime	Drug trafficking	1.22	https://www.facebook.com/pnp.pio/posts/pfbid02D6CWWrCsTG8x3oy5KafjLVgb6L1sfRTM8EsNN3dtDdikJrdKo9Sm1NegG3r3xXC7l
1	PHL.26.02.23.001	Surrender	Communities in Zamboanga del Sur surrender 40 firearms and explosives to government	2/23/2026	Tukuran, Zamboanga del Sur	7.855	123.561	Residents of Tukuran, Margosatubig, Tabina, Dinas, Dimataling, Pitogo, and Vincenzo A. Sagun in Zamboanga del Sur voluntarily surrendered 40 assorted firearms and explosives to the 53rd Infantry Battalion in Tukuran on 23 February 2026. The surrender was the eighth ceremony conducted in the province under the Small Arms and Light Weapons (SALW) Management Program, and children of participants were made eligible for provincial scholarship programs as an incentive. The surrender was attended by the Tukuran municipal government, the Office of the Presidential Adviser on Peace, Reconciliation and Unity, police, and military officials. Images corroborated a detailed manifest including one craft RPG-2, one M79 grenade launcher, two M14 rifles, two M1 carbines, seven M1 Garand rifles, four craft submachine guns, one SAS-12 shotgun, two craft shotguns, 15 pistols, five revolvers, eight hand grenades of mixed types (Mk2, M26, M67), two M76 rifle grenades, and four projected 40mm grenades.	"one craft RPG-2
one M79 grenade launcher (serial defaced)
two M14 rifles
two M1 carbines
seven M1 Garand rifles
four craft submachine guns
one SAS-12 shotgun
two craft shotguns
15 pistols
five revolvers
three Mk2 hand grenades
three M26 hand grenades
two M67 hand grenades
two M76 rifle grenades
four projected 40mm grenades
dozens of rounds of ammunition"	"Civilian community
Military (53rd Infantry Battalion, 102nd Infantry Brigade, 1st Infantry Division)
Police (Zamboanga del Sur PPO)
Civilian officials (Tukuran municipal government, Office of the Presidential Adviser on Peace, Reconciliation and Unity)"		15	5		11	1				1						8	4	2					2	4	1			123	https://www.facebook.com/53ibmatapat/posts/pfbid0J3RUm64JVg7Je27a6uFP61zaoxBe1pzETREUkD3R4jEvCYmU44LKsLChJ95b1Kc4l
1	PHL.26.02.23.002	Seizure	Joint AFP-PNP operation recovers M16 rifle from NPA arms cache in Balatan, Camarines Sur	2/23/2026	Barangay Cabanbanan, Balatan, Camarines Sur	13.3574	123.2607	Troops of the 9th Infantry Battalion, 9th Infantry Division, supported by the PNP's 9th Special Action Battalion and Special Action Force, seized an M16A1 assault rifle, two pistols, a revolver, and 17 rounds of ammunition from a suspected NPA arms cache during an operation in Barangay Cabanbanan, Balatan, Camarines Sur on 23 February 2026. A former NPA member provided information about the cache location. The 9th Infantry Battalion took custody of all recovered items.	"one M16A1 assault rifle
one caliber .45 pistol
one caliber .38 pistol
17 rounds of ammunition"	"NSAG (CPP-NPA)
Military (9th Infantry Battalion, 9th Infantry Division; Southern Luzon Command)
Police (PNP; 9th SAB, Special Action Force)"		2		1																17						Insurgency		7.17	https://www.facebook.com/permalink.php?story_fbid=pfbid0rmiJfrrsRAzDvpzsyVyxQxsZ51s5gfiT9GTiQQWi2Wea5txzyUX2Whzg4YUEsbPnl&id=100090007900511
1	PHL.26.02.24.001	Surrender	16 barangays surrender approximately 20 firearms to authorities in Datu Odin Sinsuat, Maguindanao del Norte	2/24/2026	Municipal Covered Court, Poblacion Dalican, Datu Odin Sinsuat, Maguindanao del Norte	7.0235	124.3159	Residents of 16 barangays in Datu Odin Sinsuat, Maguindanao del Norte handed over approximately 20 weapons to authorities at the municipal covered court on 24 February 2026. The participating barangays were Baka (Datu Pinguiaman), Capiton, Tamontaka, Taviran, Badak, Linek, Mompong, Sapalan, Nekitan, Labungan, Tinunggos, Tambak, Dulangan, Kusiong, Kakar, and Binolen. The event was the second round of a municipal government surrender initiative that year; an earlier round in January had involved more than 20 assorted rifles and grenade launchers. The activity was led by Mayor Baba Abas (Abdulmain Abas) and Vice Mayor Datu Bobsteel Sinsuat, who reportedly reconciled ten feuding Moro clans that had engaged in deadly firefights due to land disputes, political rivalries, and family pride in recent years. Images showed one 9mm AR-pattern rifle, one M14 rifle, two M79 grenade launchers, one M79-style craft grenade launcher, one craft RPG-2-style launcher, three craft shotguns, one craft rifle, three craft submachine guns, two pistols, two revolvers, and one craft PG-2-style munition.	"one 9mm AR-pattern rifle
one M14 rifle
two M79 grenade launchers
one M79-style craft grenade launcher
one craft RPG-2-style launcher
three craft shotguns
one craft rifle
three craft submachine guns
two pistols
two revolvers
one craft PG-2-style munition"	"Civilian officials (Datu Odin Sinsuat municipal government)
Police (Maguindanao del Norte PPO, DOS Municipal Police Station)
Civilian community"		2	2	1	1					3									1			1	3	3	1	"Communal conflict/feud
Political Violence"		62.5	https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid0oL5QuPCrMdy88UmzWKL5BwZRWWmdvGwcSZYMQEDzT8oo2cvyPsn3P9GksGcB9Bojl
1	PHL.26.02.25.001	Seizure	Buy-bust operation nets two drug suspects and firearm in Midland Village, Davao City	2/25/2026	Purok 42, Midland Village, Davao City	7.076	125.5859	Personnel from the Davao City Police Office's City Drug Enforcement Unit/Special Operations Group (CDEU/SOG-DCPO), in coordination with Regional Police Drug Enforcement Unit 11, the 1st and 2nd City Mobile Force Companies, the Ma-a Police Station, and the Philippine Drug Enforcement Agency Region XI, conducted a buy-bust operation in Purok 42, Midland Village, Davao City at approximately 1:48 a.m. on 25 February 2026. Two suspected drug dealers were arrested and approximately Ã¢â€šÂ±68,000 worth of suspected shabu was seized. A caliber .45 firearm with three rounds of ammunition was also recovered during the operation.	"one caliber .45 pistol
three rounds of ammunition"	"Criminal individuals (2 suspected drug dealers)
Police (DCPO-CDEU/SOG, RPDEU XI, 1st and 2nd CMFC, Ma-a Police Station, PDEA Region XI)"		1																		3						Crime	Drug trafficking	1.03	https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid0YbWP2GmJ2L8XSgDnqMtePULrsHQpciXTKzowh87NsweLG2gH9ymehqe5sgFTM3XBl
1	PHL.26.02.25.002	Seizure	Assault rifle and pistol seized from sitting barangay kagawad in Lambayong, Sultan Kudarat	2/25/2026	Purok Liwa-Liwa, Barangay Palumbi, Lambayong, Sultan Kudarat	6.7494	124.6251	Police from the CIDG Sultan Kudarat PFU 12 seized one select-fire Bushmaster M16 assault rifle, one caliber .45 pistol, and 17 rounds of ammunition when they searched the residence of Frederich Joey Gacula Pande, a sitting barangay kagawad of Barangay Palumbi, Lambayong, Sultan Kudarat on 25 February 2026. The search was conducted as part of a campaign against suspected private armed groups in Sultan Kudarat. Police also arrested Pande's house guard, Antonio Orlanda Biala. Neither suspect could present valid licensing documents for the firearms.	"one select-fire Bushmaster M16 assault rifle
one caliber .45 pistol
17 rounds of ammunition"	"State Auxiliary (barangay kagawad)
Police (CIDG Sultan Kudarat PFU 12)
Communal/Political Militia"		1		1																17						"Political Violence
Corruption/Abuse of Office"		6.17	https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid031XyXLcrin2CCmpWyPY11UfVKJfYQx5H4CHNEH74HmW4cebANMonXGRYYNa285rBql
1	PHL.26.02.25.003	Seizure	Farmer arrested in Surallah, South Cotabato for illegal drugs and firearms	2/25/2026	Purok Asparagus, Barangay Colongulo, Surallah, South Cotabato	6.3299	124.7223	Joint elements of the Surallah Municipal Police Station, the South Cotabato Provincial Intelligence Team, Regional Intelligence Unit 12, and the Philippine Drug Enforcement Agency Region XII served a court-issued search warrant on 25 February 2026 at the residence of Winston Calawigan (alias "Weng-Weng"), a 43-year-old married farmer in Purok Asparagus, Barangay Colongulo, Surallah, South Cotabato. The search recovered approximately 1.80 grams of suspected shabu and 2.73 grams of dried marijuana leaves (combined estimated value over Ã¢â€šÂ±14,000), drug paraphernalia, a Taurus caliber 9mm pistol with a steel magazine, a caliber .45 pistol, and 88 rounds of assorted ammunition. Images showed one pistol and ammunition, indicating only one firearm was visible in documented evidence.	"one Taurus 9mm pistol (with steel magazine)
[report also describes one caliber .45 pistol; only one pistol visible in images]
88 rounds of assorted ammunition"	"Criminal individual (drug user)
Police (Surallah Municipal Police Station, South Cotabato PIT, RIU 12, PDEA Region XII)"		1																		88						Crime		1.88	https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid02qj6kJvSgu5B6daBCA4aAtqdQcwZ63YCwSnP2yUENu9pnwdRWBGsjaP26bJEHDoh3l
1	PHL.26.02.25.004	Seizure	Regional-level drug suspect arrested in buy-bust operation in Ecoland, Davao City	2/25/2026	Parakeet Street, Barangay 76-A, Ecoland Phase 2, Davao City	7.0526	125.601	Operatives of the Davao City Police Office's City Drug Enforcement Unit conducted a buy-bust operation on Parakeet Street in Barangay 76-A, Ecoland Phase 2, Davao City at approximately 4:22 p.m. on 25 February 2026. The operation resulted in the arrest of a 45-year-old male, identified by the aliases "Melvin" and "Bin," a resident of Purok 6, Lanao, Kidapawan City, who had been classified as a Regional Level Top Priority Illegal Drug Personality. Two sachets of suspected shabu with an estimated value of Ã¢â€šÂ±102,000 were seized, along with a Smith & Wesson caliber .38 revolver loaded with three live rounds, a PNP License to Own and Possess Firearms (LTOPF) ID, and Ã¢â€šÂ±1,000 in cash.	"one Smith & Wesson caliber .38 revolver
three rounds of ammunition"	"Criminal organization (drug trafficker)
Police (DCPO-CDEU)"			1																	3						Crime	Drug trafficking	1.03	https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid02XUCUdrXuRpEvzcXsyLio2GdTBV1QsyWCcbGd1sMgzjzv2s4rWMTM9i7NkFqfWQmMl
1	PHL.26.02.25.005	Illicit transfer	Police arrest two foreign nationals in gun buy-bust in Pasay City	2/25/2026	J.W. Diokno Boulevard, Pasay City, Metro Manila	14.535	120.984	Personnel of the CIDG Southern Metro Manila District Field Unit arrested a Chinese national and a Taiwanese national during a buy-bust operation at a restaurant on J.W. Diokno Boulevard in Pasay City, Metro Manila on 25 February 2026. One 9mm revolver and three rounds of ammunition were seized. The operation followed intelligence that a foreign national was selling unregistered firearms. PNP intelligence units were investigating whether the two suspects are connected to larger firearms syndicates operating in and around Metro Manila.	"one 9mm revolver
three rounds of ammunition"	"Criminal organization (Chinese/Taiwanese nationals, arms traffickers)
Police (CIDG Southern Metro Manila District Field Unit)"			1																	3						Crime		1.03	https://www.facebook.com/pnp.pio/posts/pfbid02GiY8MxBhes48nLYdzVKHHrMevdQuQFVmP51tRLsufzsURebSACqQRZRcv1y9jg7vl
1	PHL.26.02.25.006	Seizure	Man arrested for illegal possession of firearm in Barangay Bayanan, Muntinlupa City	2/25/2026	San Guillermo Street, Barangay Bayanan, Muntinlupa City	14.4017	121.0502	Operatives of the Muntinlupa Police Office's Alabang Sub-station arrested a 33-year-old male, identified by the alias "Kim" and a resident of Barangay Bayanan, on San Guillermo Street in the same barangay at approximately 4:50 p.m. on 25 February 2026. The arrest followed a report that the individual was armed and causing fear among residents. A caliber .38 pistol and two rounds of live ammunition were confiscated. The suspect faces charges under Republic Act No. 10591.	"one caliber .38 pistol
two rounds of ammunition"	"Criminal individual (disturbance)
Police (Muntinlupa City Police Office, Alabang Sub-station)"		1																		2						Crime		1.02	https://mb.com.ph/2026/02/26/man-nabbed-for-illegal-possession-of-firearm-in-muntinlupa
1	PHL.26.02.26.001	Illicit transfer	Police and troops seize HK416 and M14 rifles from suspected traffickers in Zamboanga City	2/26/2026	Zamora Intersection, Barangay Pasonanca, Zamboanga City	6.9465	122.0725	Police and military personnel seized one HK416 assault rifle and two M14 rifles when they arrested two men transporting the weapons at the Zamora Intersection in Barangay Pasonanca, Zamboanga City on 26 February 2026. The suspects, from Cotabato City and driving a rented vehicle, initially attempted to flee a checkpoint in Barangay Santa Maria before being pursued and intercepted. Police and military officials believe the weapons originated from Datu Odin Sinsuat, Maguindanao del Norte, and were being delivered to Zamboanga City.	"one HK416 assault rifle
two M14 rifles"	"Criminal individuals (arms traffickers)
Police (Police Station 7, PRO 9)
Military (1st Marine Rifle Battalion; 6th Infantry Division)"				1	2																					Crime		11	https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid0YNHy8z5fXsphKsqez77P1tbc44pr9t6fEpaQ5EPWueRCRjbvxNbMVJ4Cgi4hX9Vsl
1	PHL.26.02.26.002	Seizure	Shooting suspect arrested by joint army-police operation in Panamao, Sulu	2/26/2026	Barangay Kamalig, Panamao, Sulu	5.9418	121.2352	Troops of the 21st Infantry Battalion and personnel from the Panamao Municipal Police Station responded to a report of a shooting incident in Barangay Kamalig, Panamao, Sulu on 26 February 2026. A caliber .45 pistol was seized following the operation. The suspect was arrested without further violence. Images corroborated the recovery of one M1911 pistol bearing US Army markings.	one M1911 caliber .45 pistol (with US Army markings)	"Criminal individual (shooting suspect)
Military (21st Infantry Battalion, 1102nd Infantry Brigade, 11th Infantry Division)
Police (Panamao Municipal Police Station)"		1																								Crime		1	https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid0riDcRNi5i4m4m1CTD9EFjRDwz2sjGQXy4BJodaEG4oiNEXiry8XXZRbxvGGVnZLsl
1	PHL.26.02.26.003	Surrender	Milisyang Bayan member surrenders M16 assault rifle to troops in San Mariano, Isabela	2/26/2026	San Mariano, Isabela	16.9838	122.0131	A Milisyang Bayan member surrendered one M16 assault rifle and ammunition to the 95th Infantry Battalion in San Mariano, Isabela on 26 February 2026. Images confirmed the recovery of one Colt 653 assault rifle and 30 rounds of ammunition. The surrender was attributed to sustained community engagement through the unit's Modified Community Support Program (MCSSP).	"one Colt 653 assault rifle
30 rounds of ammunition"	"NSAG (Milisyang Bayan / CPP-NPA)
Military (95th Infantry Battalion, 5th Infantry Division)"				1																30						Insurgency		5.3	https://www.facebook.com/95thSalaknib/posts/pfbid02VBj7J23HKMuj7onnGZaPN1e1f3dZG292SGD3F9h6WsxHQtbeecYgGXp1fzPG5HePl
1	PHL.26.02.26.004	Surrender	Former rebel surrenders Vz58 rifles and craft RPG-2 launcher in Malaybalay City, Bukidnon	2/26/2026	Camp Captain Ramon M. Onahon, Malaybalay City, Bukidnon	8.1511	125.1293	A former member of an armed group, presumed to be the NPA, handed over four weapons upon surrendering to police at Camp Captain Ramon M. Onahon in Malaybalay City, Bukidnon on 26 February 2026. The surrender took place under the Enhanced Comprehensive Local Integration Program (E-CLIP) and was overseen by the Bukidnon PPO, the 8th Infantry Battalion, 4th Infantry Division, and the DILG. Images confirmed the recovery of two Vz 58 assault rifles, one craft rifle, and one craft RPG-2-style launcher.	"two Vz 58 assault rifles
one craft rifle
one craft RPG-2-style launcher"	"NSAG (presumed CPP-NPA)
Police (Bukidnon PPO)
Military (8th Infantry Battalion, 4th Infantry Division)
Civilian officials (DILG)"				2																		1			1	Insurgency		16	https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid02sd5JEF6qcGo27121xDeqTz1aW736boP1sWKVaC2aTj1ApZibUH2moQFU32AAzyDrl
